IP地址,端口,回源端口,TLS,城市,地区,国家,城市,TCP延迟(ms),速度(MB/s)
114.129.43.11,2053,443,TRUE,Singapore,Europe,DE,Singapore,329,6.89
206.238.237.203,2053,443,TRUE,Singapore,North America,US,Singapore,387,6.89
206.238.237.200,2053,443,TRUE,Singapore,Europe,DE,Singapore,234,6.85
114.129.43.173,2053,443,TRUE,Singapore,Europe,SE,Singapore,275,6.83
206.238.237.244,2053,443,TRUE,Singapore,North America,US,Singapore,351,6.82
114.129.43.96,2053,443,TRUE,Singapore,Europe,DE,Singapore,286,6.82
114.129.43.206,2053,443,TRUE,Singapore,Europe,GB,Singapore,231,6.79
114.129.43.161,2053,443,TRUE,Singapore,Europe,DE,Singapore,461,6.79
206.238.237.235,2053,443,TRUE,Singapore,Europe,DE,Singapore,280,6.78
206.238.237.192,2053,443,TRUE,Singapore,Europe,DE,Singapore,287,6.74
114.129.43.116,2053,443,TRUE,Singapore,Europe,DE,Singapore,364,6.72
206.238.237.240,2053,443,TRUE,Singapore,North America,US,Singapore,317,6.7
206.238.236.43,2053,443,TRUE,Singapore,Europe,DE,Singapore,388,6.68
154.219.5.49,2053,443,TRUE,Singapore,Europe,DE,Singapore,337,6.68
114.129.43.226,2053,443,TRUE,Singapore,Europe,DE,Singapore,285,6.66
114.129.43.176,2053,443,TRUE,Singapore,Europe,DE,Singapore,257,6.64
206.238.237.193,2053,443,TRUE,Singapore,Europe,NL,Singapore,296,6.64
114.129.43.199,2053,443,TRUE,Singapore,Europe,DE,Singapore,378,6.63
206.238.237.252,2053,443,TRUE,Singapore,Europe,DE,Singapore,306,6.59
114.129.43.12,2053,443,TRUE,Singapore,Europe,DE,Singapore,379,6.56
114.129.43.109,2053,443,TRUE,Singapore,North America,US,Singapore,241,6.54
114.129.43.249,2053,443,TRUE,Singapore,Europe,DE,Singapore,287,6.52
114.129.43.127,2053,443,TRUE,Singapore,North America,US,Singapore,236,6.51
206.238.236.13,2053,443,TRUE,Singapore,North America,US,Singapore,371,6.5
114.129.43.208,2053,443,TRUE,Singapore,Europe,DE,Singapore,313,6.47
206.238.236.79,2053,443,TRUE,Singapore,Europe,DE,Singapore,337,6.44
114.129.43.68,2053,443,TRUE,Singapore,Europe,GB,Singapore,266,6.43
206.238.237.231,2053,443,TRUE,Singapore,Europe,DE,Singapore,295,6.39
114.129.43.232,2053,443,TRUE,Singapore,Europe,FR,Singapore,239,6.39
206.238.236.22,2053,443,TRUE,Singapore,Europe,DE,Singapore,354,6.37
206.238.236.15,2053,443,TRUE,Singapore,Europe,DE,Singapore,254,6.35
206.238.236.139,2053,443,TRUE,Singapore,Europe,GB,Singapore,283,6.34
114.129.43.9,2053,443,TRUE,Singapore,Europe,DE,Singapore,424,6.28
206.238.236.151,2053,443,TRUE,Singapore,Europe,DE,Singapore,294,6.21
114.129.43.235,2053,443,TRUE,Singapore,North America,US,Singapore,276,6.21
114.129.43.156,2053,443,TRUE,Singapore,North America,US,Singapore,353,6.2
114.129.43.23,2053,443,TRUE,Singapore,Asia Pacific,SG,Singapore,116,6.19
114.129.43.64,2053,443,TRUE,Singapore,Europe,DE,Singapore,373,6.06
114.129.43.10,2053,443,TRUE,Singapore,North America,US,Singapore,225,6.02
114.129.43.134,2053,443,TRUE,Singapore,Europe,DE,Singapore,334,6.02
114.129.43.198,2053,443,TRUE,Singapore,North America,US,Singapore,327,6.02
114.129.43.78,2053,443,TRUE,Singapore,North America,US,Singapore,327,5.81
114.129.43.93,2053,443,TRUE,Singapore,North America,US,Singapore,357,5.8
